Zone,Step,Hours Start hh:mm,Hours End hh:mm,Total Points,%Total Start,%Total End,Grade,
1,Step 5 Grand total,0,0.04,100,100,100,A+,
1,Step 5 Grand total,0.04,0.17,100,99.81,99.9,A+,
1,Step 5 Grand total,0.17,0.42,100,98.81,98.9,A+,
1,Step 5 Grand total,0.42,0.68,100,97,97.9,A+,
1,Step 5 Grand total,0.68,0.94,100,96,96.9,A+,
1,Step 5 Grand total,0.94,1.19,100,95,95.9,A+,
1,Step 5 Grand total,1.19,1.45,100,94,94.9,A,
1,Step 5 Grand total,1.45,1.71,100,93,93.9,A,
1,Step 5 Grand total,1.71,1.97,100,92,92.9,A,
1,Step 5 Grand total,1.97,2.22,100,91,91.9,A,
1,Step 5 Grand total,2.22,2.48,100,90,90.9,A,
1,Step 5 Grand total,2.48,2.74,100,89,89.9,A-,
1,Step 5 Grand total,2.74,2.99,100,88,88.9,A-,
1,Step 5 Grand total,2.99,3.25,100,87,87.9,A-,
1,Step 5 Grand total,3.25,3.51,100,86,86.9,A-,
1,Step 5 Grand total,3.51,3.76,100,85,85.9,A-,
1,Step 5 Grand total,3.76,4.02,100,84,84.9,B+,
1,Step 5 Grand total,4.02,4.28,100,83,83.9,B+,
1,Step 5 Grand total,4.28,4.53,100,82,82.9,B+,
1,Step 5 Grand total,4.53,4.79,100,81,81.9,B+,
1,Step 5 Grand total,4.79,5.05,100,80,80.9,B+,
1,Step 5 Grand total,5.05,5.31,100,79,79.9,B,
1,Step 5 Grand total,5.31,5.56,100,78,78.9,B,
1,Step 5 Grand total,5.56,5.82,100,77,77.9,B,
1,Step 5 Grand total,5.82,6.08,100,76,76.9,B,
1,Step 5 Grand total,6.08,6.33,100,75,75.9,B,
1,Step 5 Grand total,6.33,6.59,100,74,74.9,B-,
1,Step 5 Grand total,6.59,6.85,100,73,73.9,B-,
1,Step 5 Grand total,6.85,7.1,100,72,72.9,B-,
1,Step 5 Grand total,7.1,7.36,100,71,71.9,B-,
1,Step 5 Grand total,7.36,7.62,100,70,70.9,B-,
1,Step 5 Grand total,7.62,7.88,100,69,69.9,C+,
1,Step 5 Grand total,7.88,8.13,100,68,68.9,C+,
1,Step 5 Grand total,8.13,8.39,100,67,67.9,C+,
1,Step 5 Grand total,8.39,8.65,100,66,66.9,C+,
1,Step 5 Grand total,8.65,8.9,100,65,65.9,C+,
1,Step 5 Grand total,8.9,9.16,100,64,64.9,C,
1,Step 5 Grand total,9.16,9.42,100,63,63.9,C,
1,Step 5 Grand total,9.42,9.67,100,62,62.9,C,
1,Step 5 Grand total,9.67,9.93,100,61,61.9,C,
1,Step 5 Grand total,9.93,10.19,100,60,60.9,C,
1,Step 5 Grand total,10.19,10.44,100,59,59.9,C-,
1,Step 5 Grand total,10.44,10.7,100,58,58.9,C-,
1,Step 5 Grand total,10.7,10.96,100,57,57.9,C-,
1,Step 5 Grand total,10.96,11.22,100,56,56.9,C-,
1,Step 5 Grand total,11.22,11.47,100,55,55.9,C-,
1,Step 5 Grand total,11.47,11.73,100,54,54.9,D+,
1,Step 5 Grand total,11.73,11.99,100,53,53.9,D+,
1,Step 5 Grand total,11.99,12.24,100,52,52.9,D+,
1,Step 5 Grand total,12.24,12.5,100,51,51.9,D+,
1,Step 5 Grand total,12.5,12.76,100,50,50.9,D+,
1,Step 5 Grand total,12.76,13.01,100,49,49.9,D,0.333333333
1,Step 5 Grand total,13.01,13.27,100,48,48.9,D,
1,Step 5 Grand total,13.27,13.53,100,47,47.9,D,
1,Step 5 Grand total,13.53,13.78,100,46,46.9,D,
1,Step 5 Grand total,13.78,14.04,100,45,45.9,D,
1,Step 5 Grand total,14.04,14.3,100,44,44.9,D-,
1,Step 5 Grand total,14.3,14.56,100,43,43.9,D-,
1,Step 5 Grand total,14.56,14.81,100,42,42.9,D-,
1,Step 5 Grand total,14.81,15.07,100,41,41.9,D-,
1,Step 5 Grand total,15.07,15.33,100,40,40.9,D-,
1,Step 5 Grand total,15.33,15.58,100,39,39.8,F,
1,Step 5 Grand total,15.58,15.84,100,38,38.9,F,
1,Step 5 Grand total,15.84,16.1,100,37,37.9,F,
1,Step 5 Grand total,16.1,16.35,100,36,36.9,F,
1,Step 5 Grand total,16.35,16.61,100,35,35.9,F,
1,Step 5 Grand total,16.61,16.87,100,34,34.9,F,
1,Step 5 Grand total,16.87,17.13,100,33,33.9,F,
1,Step 5 Grand total,17.13,17.38,100,32,32.9,F,
1,Step 5 Grand total,17.38,17.64,100,31,31.9,F,
1,Step 5 Grand total,17.64,17.9,100,30,30.9,F,
1,Step 5 Grand total,17.9,18.15,100,29,29.9,F,
1,Step 5 Grand total,18.15,18.41,100,28,28.9,F,
1,Step 5 Grand total,18.41,18.67,100,27,27.9,F,
1,Step 5 Grand total,18.67,18.92,100,26,26.9,F,
1,Step 5 Grand total,18.92,19.18,100,25,25.9,F,
1,Step 5 Grand total,19.18,19.44,100,24,24.9,F,
1,Step 5 Grand total,19.44,19.7,100,23,23.9,F,
1,Step 5 Grand total,19.7,19.95,100,22,22.9,F,
1,Step 5 Grand total,19.95,20.21,100,21,21.9,F,
1,Step 5 Grand total,20.21,20.47,100,20,20.9,F,
1,Step 5 Grand total,20.47,20.72,100,19,19.9,F,
1,Step 5 Grand total,20.72,20.98,100,18,18.9,F,
1,Step 5 Grand total,20.98,21.24,100,17,17.9,F,
1,Step 5 Grand total,21.24,21.49,100,16,16.9,F,
1,Step 5 Grand total,21.49,21.75,100,15,15.9,F,
1,Step 5 Grand total,21.75,22.01,100,14,14.9,F,
1,Step 5 Grand total,22.01,22.26,100,13,13.9,F,
1,Step 5 Grand total,22.26,22.52,100,12,12.9,F,
1,Step 5 Grand total,22.52,22.78,100,11,11.9,F,
1,Step 5 Grand total,22.78,23.04,100,10,10.9,F,
1,Step 5 Grand total,23.04,23.29,100,9,9.9,F,
1,Step 5 Grand total,23.29,23.55,100,8,8.9,F,
